,Dates,Score,Change in SPY,predicted_change,true_change
566,4/1/22,4.3897,-7.059997559,1.5140939,-65.09403017455486
567,4/4/22,0.062155,1.279998779,1.5137228,9.621284667298095
568,4/5/22,0.677823,3.879974365,1.5190709,32.91362037301206
569,4/6/22,1.624023486,-5.769989014,1.5126991,-53.53726315905888
570,4/7/22,2.2126,-4.510009766,1.5076698,-42.24951884919787
571,4/8/22,2.597440568,2.25,1.5087914,18.3112101405
572,4/11/22,0.8503,-1.199981689,1.5115478,-12.596053801306137
573,4/12/22,1.862403,-7.649993896,1.5136662,-70.37961547794914
574,4/13/22,3.9059538,-1.630004883,1.511386,-16.44849174334894
575,4/14/22,3.54410789,5.019989014,1.5101179,43.12664085555889
576,4/18/22,-0.271555,-5.519989014,1.513392,-51.297594464558884
577,4/19/22,0.46676789,0.179992676,1.5057855,-0.2333122632940743
578,4/20/22,1.740926,7.070007324,1.5147891,61.49208818379406
579,4/21/22,1.2150043,-0.33001709,1.5196264,-4.802323890491956
580,4/22/22,3.620812,-6.649993896,1.5192169,-61.42094069994914
581,4/25/22,0.200002,-12.01998901,1.5162073,-109.52898048572418
582,4/26/22,1.8252674,2.470001221,1.5117502,20.282129530201903
583,4/27/22,1.391685,-12.41000366,1.5140239,-113.02299489372966
584,4/28/22,-0.584151,1.16998291,1.5120642,8.635688276508043
585,4/29/22,3.635946,10.54000854,1.5017611,92.57870055720261
586,5/2/22,1.7446,-15.80999756,1.493494,-143.48243449101352
587,5/3/22,0.792944,2.480010986,1.500727,20.371803759441107
588,5/4/22,5.09413,1.899993896,1.5047172,15.175619284449153
589,5/5/22,3.243643157,12.67999268,1.5046916,111.75012249754062
590,5/6/22,3.274885,-15.25,1.5086153,-138.46559847449998
591,5/9/22,1.4621,-2.470001221,1.5054274,-23.973745750201903
592,5/10/22,1.6638,-13.16998291,1.5170141,-119.83140183250802
593,5/11/22,0.9622504,0.91998291,1.5219562,6.396019582008043
594,5/12/22,-0.792307,-6.339996338,1.5274258,-58.64377339585296
595,5/13/22,1.541288685,-0.410003662,1.5376385,-5.5188975756470375
596,5/16/22,0.6303123,9.380004883,1.528608,82.18660505284893
597,5/17/22,2.510501,-1.630004883,1.5250554,-16.44849174334894
598,5/18/22,-0.6124706,8.230010986,1.5239174,71.88418373294111
599,5/19/22,1.638613,-16.46002197,1.505618,-149.30579177796486
600,5/20/22,-1.84580811,-2.399993896,1.4952327,-23.346572893449153
601,5/23/22,0.1883335,0.170013428,1.4845705,-0.32271310065508124
602,5/24/22,2.290079079,7.290008545,1.4803488,63.46300757349597
603,5/25/22,1.746246457,-3.029998779,1.4751337,-28.990581748798093
604,5/26/22,1.4162196,3.479980469,1.4734404,29.330205145562907
605,5/27/22,2.2937,7.940002441,1.4795203,69.28609149544512
