,Data,Positive Score,Negative Score,Neutral Score,Change in SPY,predicted_change,true_change
491,12/14/21,1.367320716,20.46031767,43.21759751,-4.16998291,0.11126942,9.380004883
492,12/15/21,4.826701045,23.6739186,41.37030014,-3.210021973,0.7082868,0.359985352
493,12/16/21,8.061072111,21.08127737,43.74290657,7.240020752,0.4424358,-6.649993896
494,12/17/21,2.713651985,29.54468602,50.46796501,-4.149993896,0.5386053,4.630004883
495,12/20/21,1.938428938,10.04713443,22.17461041,-6.58001709,0.23586789,8.079986572
496,12/21/21,4.842451572,20.22191921,40.61006379,-4.889984131,0.30252108,3.989990234
497,12/22/21,9.302260756,16.06110042,37.05775222,8.079986572,0.31555122,1.079986572
498,12/23/21,6.894688427,14.65431899,52.26813412,4.630004883,0.14216295,12.01998901
499,12/27/21,0.926021039,10.84691232,18.15528023,2.910003662,0.2721178,-3.540008545
500,12/28/21,3.105572283,14.08330739,27.50734288,6.660003662,0.4756223,-1.130004883
501,12/29/21,2.802079678,14.49459815,34.61961713,-0.390014648,0.38506392,-3.410003662
502,12/30/21,8.012408823,12.42257661,30.92450398,0.610015869,0.36780733,9.450012207
503,12/31/21,4.542939156,17.42007184,30.17811126,-1.320007324,0.01700361,5.33001709
504,1/3/22,5.578778714,7.955184579,22.36671653,-1.200012207,0.6599748,-2.019989014
505,1/4/22,5.7586326,15.87357983,35.80269721,2.75,0.2580785,1.980010986
506,1/5/22,5.917302579,18.41082734,37.7281459,-0.160003662,0.5188177,-0.180023193
507,1/6/22,4.765272677,19.77542478,41.92197934,-9.16998291,0.24512544,2.600006104
508,1/7/22,4.106255263,21.04588026,40.57787335,-0.440002441,0.27623495,4.389984131
509,1/10/22,1.886403501,7.680760384,25.88067758,-1.850006104,0.6355715,-3.700012207
510,1/11/22,4.913818002,18.96964556,41.65227026,-0.579986572,0.21026593,-0.579986572
511,1/12/22,6.789097309,24.06358501,39.72207078,4.239990234,0.11092402,9.429992676
512,1/13/22,12.54613757,18.37759349,45.25661942,1.269989014,0.35855633,-0.160003662
513,1/14/22,10.83230409,23.39959365,47.63822573,-6.489990234,0.3067436,9.489990234
514,1/18/22,3.050809503,17.34168124,25.63722908,0.190002441,0.19901305,1.320007324
515,1/19/22,5.322993666,20.73795933,35.49636394,-8.230010986,0.22157091,1.859985352
516,1/20/22,12.18410388,21.24510333,40.24355894,-4.739990234,0.2998793,1.279998779
517,1/21/22,10.25545803,22.87457862,44.87026951,-5.0,0.16361034,-10.47000122
518,1/24/22,0.615343869,11.80112934,19.31240731,-8.769989014,0.16810152,0.549987793
519,1/25/22,5.932506472,22.50532633,35.44325522,1.859985352,0.1750114,-0.779998779
520,1/26/22,14.8340688,25.50529552,42.31322467,-5.369995117,0.12059108,6.660003662
521,1/27/22,6.054220796,16.3597914,43.37000409,-1.089996338,0.32524782,-9.779998779
522,1/28/22,8.765613317,19.83687192,52.26652753,-2.140014648,0.28415963,-0.470001221
523,1/31/22,2.627682179,9.853036761,20.68513095,10.71002197,0.23310575,5.099975586
524,2/1/22,3.593041539,16.26961455,39.69052026,7.959991455,0.12145883,7.910003662
525,2/2/22,11.46437213,22.29028904,39.3981688,3.040008545,0.23735908,3.290008545
526,2/3/22,11.13310629,16.14903334,44.42066783,4.399993896,0.14747256,-7.739990234
527,2/4/22,7.225241393,22.76464379,43.52272409,-10.75,0.22947916,-1.639984131
528,2/7/22,0.866986096,13.44100648,21.02800232,2.100006104,0.25721267,7.320007324
529,2/8/22,6.176710486,15.70672506,32.77758557,-1.440002441,0.32230443,-10.41000366
530,2/9/22,8.436445057,18.27820879,42.17379451,3.679992676,0.23859695,4.229980469
531,2/10/22,12.32511818,16.75751773,44.8927688,6.600006104,0.44188526,9.410003662
532,2/11/22,8.350003779,30.90145487,51.57432976,-8.220001221,0.33206636,9.950012207
533,2/14/22,0.855728567,7.810192823,19.71068907,-8.860015869,0.2964261,8.639984131
534,2/15/22,4.12714982,20.35042578,38.32853511,-1.440002441,0.6005149,5.939971924
535,2/16/22,10.20117939,21.27168611,43.7110222,7.08001709,0.3208266,-1.549987793
536,2/17/22,8.328026146,26.27303267,42.00946483,0.5,0.15290025,1.859985352
537,2/18/22,8.294419199,24.42686212,41.1203002,-9.540008545,0.36168793,3.709991455
538,2/22/22,3.57763207,7.845256329,23.46165505,-2.829986572,0.025023878,-3.539978027
539,2/23/22,6.120565295,24.55065465,37.76854283,-4.660003662,0.37998703,1.559997559
540,2/24/22,3.053400278,21.2153652,34.74173743,-7.619995117,0.3207693,-7.359985352
541,2/25/22,8.587521851,28.2829358,46.77505907,6.349975586,0.16635779,10.1499939
542,2/28/22,5.04809165,14.49169755,24.72858918,9.450012207,0.21383163,4.309997559
543,3/1/22,5.403095841,17.42720655,38.00804317,-1.119995117,0.30181095,-2.16998291
544,3/2/22,2.282533586,28.75930384,43.86704862,-6.649993896,0.14804691,1.290008545
545,3/3/22,8.920490503,26.87217426,50.3513189,7.910003662,0.38908023,-5.369995117
546,3/4/22,3.956099093,37.0699881,40.33918092,-2.180023193,0.42026636,3.369995117
547,3/7/22,3.768787682,15.62888744,26.18530083,-3.539978027,0.42474934,-2.370025635
548,3/8/22,4.997021317,16.54334062,37.41280609,-12.74002075,0.2916006,-3.029998779
549,3/9/22,6.510661602,26.42600322,47.00823036,-3.179992676,0.24710095,-0.700012207
550,3/10/22,8.280697435,25.58719447,43.65651369,11.16000366,0.5307484,0.730010986
551,3/11/22,8.68461749,26.41763601,43.05023068,-1.929992676,0.27320743,-3.179992676
552,3/14/22,1.490944028,11.45865175,19.03903782,-5.410003662,0.21694425,-2.709991455
553,3/15/22,7.961517811,15.02757585,27.83345449,-3.070007324,1.1756189,1.769989014
554,3/16/22,7.329707682,25.32064191,37.89675015,9.170013428,0.29261965,-5.410003662
555,3/17/22,5.900576055,26.41500905,42.75267851,9.449981689,0.21385318,2.200012207
556,3/18/22,4.973725677,23.37396935,53.80788475,5.450012207,0.26531938,-8.769989014
557,3/21/22,4.034648538,10.36168236,23.81360167,3.449981689,0.2564049,-4.889984131
558,3/22/22,7.476865947,20.58226466,31.3973408,-0.129974365,2.0344343,1.820007324
559,3/23/22,8.033184499,20.45100001,40.28866059,5.199981689,0.4888674,0.860015869
560,3/24/22,7.526519001,22.29590565,48.82916164,-5.790008545,0.38511276,20.55999756
561,3/25/22,6.993442953,28.18971193,42.24890077,6.690002441,0.16783431,6.050018311
562,3/28/22,4.469700694,6.688576162,24.53273222,2.200012207,0.5406158,3.679992676
563,3/29/22,8.494407773,22.28268287,38.05963299,3.220001221,0.18008223,-1.440002441
564,3/30/22,12.98011157,18.7505154,35.79818884,5.639984131,0.32613364,-5.610015869
565,3/31/22,9.226110399,24.60615826,37.55636445,-2.849975586,0.2445589,-2.679992676
566,4/1/22,10.4507013,33.34771243,41.06299287,-7.059997559,0.634115,0.679992676
567,4/4/22,1.457647204,11.35559636,21.14785701,1.279998779,0.22904363,7.019989014
568,4/5/22,10.49108565,14.12608612,39.80813524,3.879974365,0.46038306,-2.470001221
569,4/6/22,10.84747213,22.01006198,43.17562354,-5.769989014,0.3101619,1.559997559
570,4/7/22,5.758709341,23.90274048,38.25907409,-4.510009766,0.36096632,0.239990234
571,4/8/22,10.64090481,24.06146425,42.41949394,2.25,0.22826257,2.100006104
572,4/11/22,0.0,9.839518338,25.12210047,-1.199981689,0.17593104,-17.86999512
573,4/12/22,4.937825322,12.08370772,53.24005187,-7.649993896,0.26242423,-2.399993896
574,4/13/22,7.228567064,25.45417854,42.23857731,-1.630004883,0.2565091,4.239990234
575,4/14/22,15.8965905,18.76700312,45.69309527,5.019989014,0.29956222,1.329986572
576,4/18/22,1.369831026,11.65708703,24.5161683,-5.519989014,0.4585102,1.589996338
577,4/19/22,2.830530673,21.7361069,26.7961297,0.179992676,0.34699824,-2.829986572
578,4/20/22,6.592714489,18.58371839,48.44118088,7.070007324,0.4578371,0.5
579,4/21/22,10.07751662,15.25538504,38.6354017,-0.33001709,0.24558869,-4.679992676
580,4/22/22,7.182026625,20.64668712,56.092251,-6.649993896,0.23177835,-0.839996338
581,4/25/22,3.497677565,6.402029455,24.9981856,-12.01998901,0.6309023,-2.770019531
582,4/26/22,5.706974179,20.51935863,34.55265751,2.470001221,0.1795167,0.230010986
583,4/27/22,14.494679,19.14728209,45.60218778,-12.41000366,0.3533546,-3.539978027
584,4/28/22,12.07836467,24.42939463,47.87443501,1.16998291,0.14733893,-13.16998291
585,4/29/22,16.02811998,26.09800619,48.38721108,10.54000854,0.2362434,7.240020752
586,5/2/22,1.31928587,11.72653282,19.48905015,-15.80999756,0.21000862,5.019989014
587,5/3/22,5.860808134,17.83269751,32.18105331,2.480010986,0.21364069,-1.119995117
588,5/4/22,13.41765735,21.44057137,43.04481232,1.899993896,0.30453178,0.950012207
589,5/5/22,10.53737944,17.45111257,51.70940885,12.67999268,0.4123711,1.139984131
